row,column,layer,node,Reach,Stage,Conductanc,Width,Length,Thickness,K,Flux_gw
46,51,1,0,100,123.460220,0.009384,7.820000,2.000000,0.500000,0.000300,-0.014136
47,51,1,0,100,123.460220,0.014076,7.820000,3.000000,0.500000,0.000300,-0.020522
48,51,1,0,100,123.460220,0.004692,7.820000,1.000000,0.500000,0.000300,-0.006809
48,52,1,0,100,123.460220,0.018768,7.820000,4.000000,0.500000,0.000300,-0.026461
49,52,1,0,100,123.460220,0.014076,7.820000,3.000000,0.500000,0.000300,-0.019813
49,53,1,0,100,123.460220,0.004692,7.820000,1.000000,0.500000,0.000300,-0.006701
50,53,1,0,100,123.460220,0.018768,7.820000,4.000000,0.500000,0.000300,-0.026407
51,53,1,0,100,123.460220,0.009384,7.820000,2.000000,0.500000,0.000300,-0.013558
51,54,1,0,100,123.460220,0.004692,7.820000,1.000000,0.500000,0.000300,-0.006919
