row,column,layer,node,Reach,Stage,Conductanc,Width,Length,Thickness,K,Flux_gw
46,51,1,0,100,124.837925,0.009384,7.820000,2.000000,0.500000,0.000300,-0.005610
47,51,1,0,100,124.835267,0.014076,7.820000,3.000000,0.500000,0.000300,-0.008128
48,51,1,0,100,124.832472,0.004692,7.820000,1.000000,0.500000,0.000300,-0.002689
48,52,1,0,100,124.829516,0.018768,7.820000,4.000000,0.500000,0.000300,-0.010448
49,52,1,0,100,124.824446,0.014076,7.820000,3.000000,0.500000,0.000300,-0.007840
49,53,1,0,100,124.821639,0.004692,7.820000,1.000000,0.500000,0.000300,-0.002649
50,53,1,0,100,124.818274,0.018768,7.820000,4.000000,0.500000,0.000300,-0.010430
51,53,1,0,100,124.813762,0.009384,7.820000,2.000000,0.500000,0.000300,-0.005347
51,54,1,0,100,124.810955,0.004692,7.820000,1.000000,0.500000,0.000300,-0.002731
