model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M9376,1e-05,1e-06,-0.5,-0.5,0.02,0.0040702,0.02532,nSEG,1,LIDAR,0.0149298,0.17468,0.785778947368421,0.8734,0.8295894736842104
M9377,1e-05,1e-06,-0.5,-0.5,0.03,0.0040622,0.03226,nSEG,1,LIDAR,0.0149378,0.16774,0.7862,0.8387,0.81245
M9378,1e-05,1e-06,-0.5,-0.5,0.035,0.0040587,0.03537,nSEG,1,LIDAR,0.0149413,0.16463,0.7863842105263158,0.8231499999999999,0.8047671052631579
M9379,1e-05,1e-06,-0.5,-0.5,0.04,0.0040553,0.0383,nSEG,1,LIDAR,0.014944699999999998,0.1617,0.7865631578947367,0.8085,0.7975315789473684
M9380,1e-05,1e-06,-0.5,-0.5,0.05,0.004049,0.04375,nSEG,1,LIDAR,0.014950999999999999,0.15625,0.7868947368421052,0.78125,0.7840723684210527
M9381,1e-05,1e-06,-0.5,-0.25,0.02,0.0040719,0.02243,nSEG,1,LIDAR,0.0149281,0.17757,0.7856894736842105,0.88785,0.8367697368421052
M9382,1e-05,1e-06,-0.5,-0.25,0.03,0.0040644,0.02858,nSEG,1,LIDAR,0.0149356,0.17142000000000002,0.7860842105263158,0.8571000000000001,0.821592105263158
M9383,1e-05,1e-06,-0.5,-0.25,0.035,0.0040611,0.03133,nSEG,1,LIDAR,0.0149389,0.16867000000000001,0.7862578947368422,0.84335,0.8148039473684211
M9384,1e-05,1e-06,-0.5,-0.25,0.04,0.0040579,0.03393,nSEG,1,LIDAR,0.0149421,0.16607,0.7864263157894736,0.8303499999999999,0.8083881578947367
M9385,1e-05,1e-06,-0.5,-0.25,0.05,0.004052,0.03875,nSEG,1,LIDAR,0.014948,0.16125,0.7867368421052632,0.80625,0.7964934210526315
M9386,1e-05,1e-06,-0.5,0.0,0.02,0.004073,0.02058,nSEG,1,LIDAR,0.014927,0.17942000000000002,0.7856315789473685,0.8971000000000001,0.8413657894736843
M9387,1e-05,1e-06,-0.5,0.0,0.03,0.0040658,0.02622,nSEG,1,LIDAR,0.0149342,0.17378000000000002,0.7860105263157895,0.8689,0.8274552631578947
M9388,1e-05,1e-06,-0.5,0.0,0.035,0.0040626,0.02874,nSEG,1,LIDAR,0.0149374,0.17126000000000002,0.7861789473684211,0.8563000000000001,0.8212394736842106
M9389,1e-05,1e-06,-0.5,0.0,0.04,0.0040595,0.03113,nSEG,1,LIDAR,0.014940499999999999,0.16887000000000002,0.7863421052631578,0.84435,0.815346052631579
