model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3156,1e-05,1e-06,-0.25,-0.25,0.02,0.0040735,0.02243,nSEG,1,LIDAR,0.014926499999999999,0.17757,0.7856052631578947,0.88785,0.8367276315789474
M3157,1e-05,1e-06,-0.25,-0.25,0.03,0.0040665,0.02858,nSEG,1,LIDAR,0.014933499999999999,0.17142000000000002,0.7859736842105263,0.8571000000000001,0.8215368421052631
M3158,1e-05,1e-06,-0.25,-0.25,0.035,0.0040633,0.03134,nSEG,1,LIDAR,0.0149367,0.16866,0.786142105263158,0.8432999999999999,0.8147210526315789
M3159,1e-05,1e-06,-0.25,-0.25,0.04,0.0040603,0.03394,nSEG,1,LIDAR,0.0149397,0.16606,0.7863,0.8303,0.8083
M3160,1e-05,1e-06,-0.25,-0.25,0.05,0.0040548,0.03877,nSEG,1,LIDAR,0.014945199999999999,0.16123,0.7865894736842105,0.80615,0.7963697368421052
M3161,1e-05,1e-06,-0.25,0.0,0.02,0.0040746,0.02058,nSEG,1,LIDAR,0.014925399999999998,0.17942000000000002,0.7855473684210525,0.8971000000000001,0.8413236842105263
M3162,1e-05,1e-06,-0.25,0.0,0.03,0.0040679,0.02623,nSEG,1,LIDAR,0.0149321,0.17377,0.7859,0.86885,0.827375
M3163,1e-05,1e-06,-0.25,0.0,0.035,0.0040648,0.02875,nSEG,1,LIDAR,0.0149352,0.17125,0.7860631578947368,0.8562500000000001,0.8211565789473685
M3164,1e-05,1e-06,-0.25,0.0,0.04,0.004062,0.03114,nSEG,1,LIDAR,0.014938,0.16886,0.7862105263157895,0.8443,0.8152552631578948
M3165,1e-05,1e-06,-0.25,0.0,0.05,0.0040566,0.03557,nSEG,1,LIDAR,0.014943399999999999,0.16443000000000002,0.7864947368421052,0.82215,0.8043223684210526
M3166,1e-05,1e-06,-0.25,0.25,0.02,0.0040754,0.01925,nSEG,1,LIDAR,0.0149246,0.18075000000000002,0.7855052631578947,0.90375,0.8446276315789474
