model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M6251,1e-05,1e-06,-0.5,-0.5,0.03,0.0040622,0.03226,nSEG,1,LIDAR,0.0149378,0.16774,0.7862,0.8387,0.81245
M6252,1e-05,1e-06,-0.5,-0.5,0.035,0.0040587,0.03537,nSEG,1,LIDAR,0.0149413,0.16463,0.7863842105263158,0.8231499999999999,0.8047671052631579
M6253,1e-05,1e-06,-0.5,-0.5,0.04,0.0040553,0.0383,nSEG,1,LIDAR,0.014944699999999998,0.1617,0.7865631578947367,0.8085,0.7975315789473684
M6254,1e-05,1e-06,-0.5,-0.5,0.05,0.004049,0.04375,nSEG,1,LIDAR,0.014950999999999999,0.15625,0.7868947368421052,0.78125,0.7840723684210527
M6255,1e-05,1e-06,-0.5,-0.5,0.08,0.0040328,0.05786,nSEG,1,LIDAR,0.0149672,0.14214000000000002,0.7877473684210526,0.7107,0.7492236842105263
M6256,1e-05,1e-06,-0.5,-0.25,0.03,0.0040644,0.02858,nSEG,1,LIDAR,0.0149356,0.17142000000000002,0.7860842105263158,0.8571000000000001,0.821592105263158
M6257,1e-05,1e-06,-0.5,-0.25,0.035,0.0040611,0.03133,nSEG,1,LIDAR,0.0149389,0.16867000000000001,0.7862578947368422,0.84335,0.8148039473684211
M6258,1e-05,1e-06,-0.5,-0.25,0.04,0.0040579,0.03393,nSEG,1,LIDAR,0.0149421,0.16607,0.7864263157894736,0.8303499999999999,0.8083881578947367
M6259,1e-05,1e-06,-0.5,-0.25,0.05,0.004052,0.03875,nSEG,1,LIDAR,0.014948,0.16125,0.7867368421052632,0.80625,0.7964934210526315
M6260,1e-05,1e-06,-0.5,-0.25,0.08,0.0040367,0.05126,nSEG,1,LIDAR,0.014963299999999999,0.14874,0.7875421052631578,0.7437,0.765621052631579
M6261,1e-05,1e-06,-0.5,0.0,0.03,0.0040658,0.02622,nSEG,1,LIDAR,0.0149342,0.17378000000000002,0.7860105263157895,0.8689,0.8274552631578947
M6262,1e-05,1e-06,-0.5,0.0,0.035,0.0040626,0.02874,nSEG,1,LIDAR,0.0149374,0.17126000000000002,0.7861789473684211,0.8563000000000001,0.8212394736842106
M6263,1e-05,1e-06,-0.5,0.0,0.04,0.0040595,0.03113,nSEG,1,LIDAR,0.014940499999999999,0.16887000000000002,0.7863421052631578,0.84435,0.815346052631579
M6264,1e-05,1e-06,-0.5,0.0,0.05,0.0040539,0.03556,nSEG,1,LIDAR,0.0149461,0.16444,0.7866368421052632,0.8221999999999999,0.8044184210526315
M6265,1e-05,1e-06,-0.5,0.0,0.08,0.0040392,0.04704,nSEG,1,LIDAR,0.0149608,0.15296,0.7874105263157894,0.7648,0.7761052631578947
M6266,1e-05,1e-06,-0.5,0.25,0.03,0.0040668,0.02452,nSEG,1,LIDAR,0.0149332,0.17548000000000002,0.7859578947368422,0.8774000000000001,0.8316789473684212
M6267,1e-05,1e-06,-0.5,0.25,0.035,0.0040637,0.02689,nSEG,1,LIDAR,0.0149363,0.17311,0.7861210526315789,0.86555,0.8258355263157895
M6268,1e-05,1e-06,-0.5,0.25,0.04,0.0040607,0.02912,nSEG,1,LIDAR,0.014939299999999999,0.17088,0.7862789473684211,0.8543999999999999,0.8203394736842105
M6269,1e-05,1e-06,-0.5,0.25,0.05,0.0040552,0.03326,nSEG,1,LIDAR,0.0149448,0.16674,0.7865684210526316,0.8337,0.8101342105263158
M6270,1e-05,1e-06,-0.5,0.25,0.08,0.0040409,0.04401,nSEG,1,LIDAR,0.0149591,0.15599000000000002,0.7873210526315789,0.77995,0.7836355263157895
M6271,1e-05,1e-06,-0.5,0.5,0.03,0.0040676,0.02322,nSEG,1,LIDAR,0.014932399999999998,0.17678000000000002,0.7859157894736841,0.8839,0.834907894736842
M6272,1e-05,1e-06,-0.5,0.5,0.035,0.0040645,0.02546,nSEG,1,LIDAR,0.014935499999999999,0.17454,0.786078947368421,0.8726999999999999,0.8293894736842105
M6273,1e-05,1e-06,-0.5,0.5,0.04,0.0040616,0.02757,nSEG,1,LIDAR,0.0149384,0.17243,0.7862315789473684,0.86215,0.8241907894736842
M6274,1e-05,1e-06,-0.5,0.5,0.05,0.0040562,0.0315,nSEG,1,LIDAR,0.0149438,0.1685,0.7865157894736843,0.8425,0.8145078947368422
M6275,1e-05,1e-06,-0.5,0.5,0.08,0.0040423,0.04167,nSEG,1,LIDAR,0.014957699999999999,0.15833000000000003,0.7872473684210526,0.7916500000000001,0.7894486842105264
M6276,1e-05,1e-06,-0.25,-0.5,0.03,0.0040643,0.03227,nSEG,1,LIDAR,0.0149357,0.16773000000000002,0.7860894736842106,0.83865,0.8123697368421052
M6277,1e-05,1e-06,-0.25,-0.5,0.035,0.0040609,0.03538,nSEG,1,LIDAR,0.0149391,0.16462000000000002,0.7862684210526316,0.8231,0.8046842105263159
M6278,1e-05,1e-06,-0.25,-0.5,0.04,0.0040577,0.03831,nSEG,1,LIDAR,0.014942299999999999,0.16169,0.7864368421052631,0.80845,0.7974434210526316
M6279,1e-05,1e-06,-0.25,-0.5,0.05,0.0040518,0.04376,nSEG,1,LIDAR,0.014948199999999998,0.15624000000000002,0.7867473684210525,0.7812,0.7839736842105263
M6280,1e-05,1e-06,-0.25,-0.5,0.08,0.0040364,0.05789,nSEG,1,LIDAR,0.0149636,0.14211000000000001,0.7875578947368421,0.71055,0.749053947368421
M6281,1e-05,1e-06,-0.25,-0.25,0.03,0.0040665,0.02858,nSEG,1,LIDAR,0.014933499999999999,0.17142000000000002,0.7859736842105263,0.8571000000000001,0.8215368421052631
M6282,1e-05,1e-06,-0.25,-0.25,0.035,0.0040633,0.03134,nSEG,1,LIDAR,0.0149367,0.16866,0.786142105263158,0.8432999999999999,0.8147210526315789
M6283,1e-05,1e-06,-0.25,-0.25,0.04,0.0040603,0.03394,nSEG,1,LIDAR,0.0149397,0.16606,0.7863,0.8303,0.8083
M6284,1e-05,1e-06,-0.25,-0.25,0.05,0.0040548,0.03877,nSEG,1,LIDAR,0.014945199999999999,0.16123,0.7865894736842105,0.80615,0.7963697368421052
M6285,1e-05,1e-06,-0.25,-0.25,0.08,0.0040403,0.05129,nSEG,1,LIDAR,0.0149597,0.14871,0.7873526315789473,0.74355,0.7654513157894737
M6286,1e-05,1e-06,-0.25,0.0,0.03,0.0040679,0.02623,nSEG,1,LIDAR,0.0149321,0.17377,0.7859,0.86885,0.827375
M6287,1e-05,1e-06,-0.25,0.0,0.035,0.0040648,0.02875,nSEG,1,LIDAR,0.0149352,0.17125,0.7860631578947368,0.8562500000000001,0.8211565789473685
M6288,1e-05,1e-06,-0.25,0.0,0.04,0.004062,0.03114,nSEG,1,LIDAR,0.014938,0.16886,0.7862105263157895,0.8443,0.8152552631578948
M6289,1e-05,1e-06,-0.25,0.0,0.05,0.0040566,0.03557,nSEG,1,LIDAR,0.014943399999999999,0.16443000000000002,0.7864947368421052,0.82215,0.8043223684210526
M6290,1e-05,1e-06,-0.25,0.0,0.08,0.0040428,0.04707,nSEG,1,LIDAR,0.0149572,0.15293,0.7872210526315789,0.76465,0.7759355263157894
M6291,1e-05,1e-06,-0.25,0.25,0.03,0.0040689,0.02453,nSEG,1,LIDAR,0.0149311,0.17547000000000001,0.7858473684210526,0.8773500000000001,0.8315986842105263
M6292,1e-05,1e-06,-0.25,0.25,0.035,0.0040659,0.0269,nSEG,1,LIDAR,0.014934099999999999,0.1731,0.7860052631578947,0.8654999999999999,0.8257526315789473
M6293,1e-05,1e-06,-0.25,0.25,0.04,0.0040631,0.02913,nSEG,1,LIDAR,0.0149369,0.17087000000000002,0.7861526315789473,0.85435,0.8202513157894737
M6294,1e-05,1e-06,-0.25,0.25,0.05,0.004058,0.03328,nSEG,1,LIDAR,0.014942,0.16672,0.786421052631579,0.8336,0.8100105263157895
M6295,1e-05,1e-06,-0.25,0.25,0.08,0.0040446,0.04403,nSEG,1,LIDAR,0.0149554,0.15597,0.7871263157894738,0.7798499999999999,0.7834881578947368
M6296,1e-05,1e-06,-0.25,0.5,0.03,0.0040696,0.02323,nSEG,1,LIDAR,0.0149304,0.17677,0.7858105263157895,0.88385,0.8348302631578948
M6297,1e-05,1e-06,-0.25,0.5,0.035,0.0040668,0.02547,nSEG,1,LIDAR,0.0149332,0.17453000000000002,0.7859578947368422,0.87265,0.8293039473684212
M6298,1e-05,1e-06,-0.25,0.5,0.04,0.0040641,0.02758,nSEG,1,LIDAR,0.014935899999999998,0.17242000000000002,0.7860999999999999,0.8621000000000001,0.8241
M6299,1e-05,1e-06,-0.25,0.5,0.05,0.004059,0.03151,nSEG,1,LIDAR,0.014941,0.16849,0.7863684210526316,0.8424499999999999,0.8144092105263158
M6300,1e-05,1e-06,-0.25,0.5,0.08,0.004046,0.04169,nSEG,1,LIDAR,0.014953999999999999,0.15831,0.7870526315789473,0.79155,0.7893013157894737
M6301,1e-05,1e-06,0.0,-0.5,0.03,0.0040656,0.03228,nSEG,1,LIDAR,0.0149344,0.16772,0.786021052631579,0.8386,0.8123105263157895
M6302,1e-05,1e-06,0.0,-0.5,0.035,0.0040624,0.03539,nSEG,1,LIDAR,0.014937599999999999,0.16461,0.7861894736842104,0.82305,0.8046197368421052
M6303,1e-05,1e-06,0.0,-0.5,0.04,0.0040593,0.03832,nSEG,1,LIDAR,0.0149407,0.16168000000000002,0.7863526315789474,0.8084,0.7973763157894738
M6304,1e-05,1e-06,0.0,-0.5,0.05,0.0040536,0.04378,nSEG,1,LIDAR,0.014946399999999999,0.15622000000000003,0.7866526315789473,0.7811000000000001,0.7838763157894737
M6305,1e-05,1e-06,0.0,-0.5,0.08,0.0040388,0.05791,nSEG,1,LIDAR,0.0149612,0.14209,0.7874315789473684,0.7104499999999999,0.7489407894736841
M6306,1e-05,1e-06,0.0,-0.25,0.03,0.0040678,0.02859,nSEG,1,LIDAR,0.0149322,0.17141,0.7859052631578948,0.85705,0.8214776315789474
M6307,1e-05,1e-06,0.0,-0.25,0.035,0.0040647,0.03135,nSEG,1,LIDAR,0.014935299999999999,0.16865000000000002,0.7860684210526315,0.84325,0.8146592105263157
M6308,1e-05,1e-06,0.0,-0.25,0.04,0.0040619,0.03395,nSEG,1,LIDAR,0.0149381,0.16605,0.7862157894736842,0.8302499999999999,0.808232894736842
M6309,1e-05,1e-06,0.0,-0.25,0.05,0.0040565,0.03878,nSEG,1,LIDAR,0.014943499999999998,0.16122,0.7865,0.8060999999999999,0.7963
M6310,1e-05,1e-06,0.0,-0.25,0.08,0.0040427,0.05131,nSEG,1,LIDAR,0.0149573,0.14869000000000002,0.7872263157894737,0.74345,0.7653381578947369
M6311,1e-05,1e-06,0.0,0.0,0.03,0.0040692,0.02623,nSEG,1,LIDAR,0.0149308,0.17377,0.7858315789473684,0.86885,0.8273407894736842
M6312,1e-05,1e-06,0.0,0.0,0.035,0.0040663,0.02876,nSEG,1,LIDAR,0.0149337,0.17124,0.7859842105263157,0.8562,0.8210921052631579
M6313,1e-05,1e-06,0.0,0.0,0.04,0.0040635,0.03115,nSEG,1,LIDAR,0.014936499999999998,0.16885,0.7861315789473684,0.84425,0.8151907894736842
M6314,1e-05,1e-06,0.0,0.0,0.05,0.0040584,0.03558,nSEG,1,LIDAR,0.0149416,0.16442,0.7864,0.8221,0.80425
M6315,1e-05,1e-06,0.0,0.0,0.08,0.0040452,0.04708,nSEG,1,LIDAR,0.0149548,0.15292,0.7870947368421053,0.7646,0.7758473684210526
M6316,1e-05,1e-06,0.0,0.25,0.03,0.0040702,0.02454,nSEG,1,LIDAR,0.0149298,0.17546,0.785778947368421,0.8773,0.8315394736842106
M6317,1e-05,1e-06,0.0,0.25,0.035,0.0040674,0.0269,nSEG,1,LIDAR,0.0149326,0.1731,0.7859263157894737,0.8654999999999999,0.8257131578947368
M6318,1e-05,1e-06,0.0,0.25,0.04,0.0040647,0.02914,nSEG,1,LIDAR,0.014935299999999999,0.17086,0.7860684210526315,0.8543000000000001,0.8201842105263157
M6319,1e-05,1e-06,0.0,0.25,0.05,0.0040598,0.03329,nSEG,1,LIDAR,0.0149402,0.16671000000000002,0.7863263157894738,0.8335500000000001,0.8099381578947369
M6320,1e-05,1e-06,0.0,0.25,0.08,0.004047,0.04405,nSEG,1,LIDAR,0.014953,0.15595,0.787,0.7797499999999999,0.7833749999999999
M6321,1e-05,1e-06,0.0,0.5,0.03,0.0040709,0.02323,nSEG,1,LIDAR,0.0149291,0.17677,0.7857421052631579,0.88385,0.834796052631579
M6322,1e-05,1e-06,0.0,0.5,0.035,0.0040682,0.02547,nSEG,1,LIDAR,0.014931799999999999,0.17453000000000002,0.7858842105263157,0.87265,0.8292671052631579
M6323,1e-05,1e-06,0.0,0.5,0.04,0.0040656,0.02759,nSEG,1,LIDAR,0.0149344,0.17241,0.786021052631579,0.86205,0.8240355263157895
M6324,1e-05,1e-06,0.0,0.5,0.05,0.0040608,0.03152,nSEG,1,LIDAR,0.0149392,0.16848000000000002,0.7862736842105263,0.8424,0.8143368421052632
M6325,1e-05,1e-06,0.0,0.5,0.08,0.0040484,0.04171,nSEG,1,LIDAR,0.014951599999999999,0.15829000000000001,0.7869263157894737,0.79145,0.7891881578947368
