model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M9376,1e-05,1e-06,-0.5,-0.5,0.03,0.0041912,0.0591,nSEG,2,LIDAR,0.0148088,0.14090000000000003,0.7794105263157896,0.7045000000000001,0.7419552631578948
M9377,1e-05,1e-06,-0.5,-0.5,0.035,0.0041876,0.0629,nSEG,2,LIDAR,0.0148124,0.1371,0.7796,0.6855,0.73255
M9378,1e-05,1e-06,-0.5,-0.5,0.04,0.0041842,0.06647,nSEG,2,LIDAR,0.0148158,0.13353,0.7797789473684211,0.66765,0.7237144736842105
M9379,1e-05,1e-06,-0.5,-0.5,0.05,0.0041778,0.0731,nSEG,2,LIDAR,0.0148222,0.1269,0.7801157894736843,0.6345000000000001,0.7073078947368422
M9380,1e-05,1e-06,-0.5,-0.5,0.08,0.0041613,0.09017,nSEG,2,LIDAR,0.0148387,0.10983000000000001,0.7809842105263158,0.54915,0.6650671052631579
M9381,1e-05,1e-06,-0.5,-0.25,0.03,0.0041934,0.05459,nSEG,2,LIDAR,0.0148066,0.14541,0.7792947368421053,0.72705,0.7531723684210526
M9382,1e-05,1e-06,-0.5,-0.25,0.035,0.00419,0.05796,nSEG,2,LIDAR,0.01481,0.14204,0.7794736842105263,0.7101999999999999,0.7448368421052631
M9383,1e-05,1e-06,-0.5,-0.25,0.04,0.0041868,0.06113,nSEG,2,LIDAR,0.014813199999999999,0.13887000000000002,0.7796421052631578,0.69435,0.7369960526315789
M9384,1e-05,1e-06,-0.5,-0.25,0.05,0.0041808,0.06702,nSEG,2,LIDAR,0.0148192,0.13298000000000001,0.7799578947368421,0.6649,0.7224289473684211
M9385,1e-05,1e-06,-0.5,-0.25,0.08,0.0041653,0.08221,nSEG,2,LIDAR,0.0148347,0.11779,0.7807736842105263,0.58895,0.6848618421052631
M9386,1e-05,1e-06,-0.5,0.0,0.03,0.0041949,0.0517,nSEG,2,LIDAR,0.0148051,0.14830000000000002,0.7792157894736842,0.7415,0.7603578947368421
M9387,1e-05,1e-06,-0.5,0.0,0.035,0.0041916,0.0548,nSEG,2,LIDAR,0.0148084,0.1452,0.7793894736842105,0.726,0.7526947368421053
M9388,1e-05,1e-06,-0.5,0.0,0.04,0.0041885,0.05771,nSEG,2,LIDAR,0.014811499999999998,0.14229000000000003,0.7795526315789473,0.7114500000000001,0.7455013157894737
M9389,1e-05,1e-06,-0.5,0.0,0.05,0.0041828,0.06313,nSEG,2,LIDAR,0.014817199999999999,0.13687,0.7798526315789474,0.6843499999999999,0.7321013157894736
M9390,1e-05,1e-06,-0.5,0.0,0.08,0.0041679,0.0771,nSEG,2,LIDAR,0.014832099999999999,0.12290000000000001,0.7806368421052632,0.6145,0.6975684210526316
M9391,1e-05,1e-06,-0.5,0.25,0.03,0.0041959,0.04954,nSEG,2,LIDAR,0.0148041,0.15046,0.7791631578947369,0.7523,0.7657315789473684
M9392,1e-05,1e-06,-0.5,0.25,0.035,0.0041927,0.05252,nSEG,2,LIDAR,0.014807299999999999,0.14748,0.7793315789473684,0.7373999999999999,0.7583657894736842
M9393,1e-05,1e-06,-0.5,0.25,0.04,0.0041897,0.05525,nSEG,2,LIDAR,0.014810299999999998,0.14475000000000002,0.7794894736842105,0.72375,0.7516197368421053
M9394,1e-05,1e-06,-0.5,0.25,0.05,0.0041842,0.06032,nSEG,2,LIDAR,0.0148158,0.13968000000000003,0.7797789473684211,0.6984000000000001,0.7390894736842106
M9395,1e-05,1e-06,-0.5,0.25,0.08,0.0041697,0.07342,nSEG,2,LIDAR,0.0148303,0.12658000000000003,0.7805421052631579,0.6329000000000001,0.706721052631579
M9396,1e-05,1e-06,-0.5,0.5,0.03,0.0041966,0.04754,nSEG,2,LIDAR,0.0148034,0.15246,0.7791263157894737,0.7623,0.7707131578947368
M9397,1e-05,1e-06,-0.5,0.5,0.035,0.0041936,0.05077,nSEG,2,LIDAR,0.0148064,0.14923,0.7792842105263158,0.74615,0.7627171052631578
M9398,1e-05,1e-06,-0.5,0.5,0.04,0.0041907,0.05336,nSEG,2,LIDAR,0.0148093,0.14664000000000002,0.7794368421052631,0.7332000000000001,0.7563184210526316
