model,package,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M2441,SFR,0.00055,0.0001,0,0.25,0.03,0.09764,0.1082,2SEG,1,GNSS,-0.07864,0.0918,4.138947368,0.459,2.298973684
M2442,SFR,0.00055,0.0001,0,0.25,0.035,0.097368,0.1185,2SEG,1,GNSS,-0.078368,0.0815,4.124631579,0.4075,2.266065789
M2443,SFR,0.00055,0.0001,0,0.25,0.04,0.097026,0.1281,2SEG,1,GNSS,-0.078026,0.0719,4.106631579,0.3595,2.233065789
M2444,SFR,0.00055,0.0001,0,0.25,0.05,0.0965,0.1459,2SEG,1,GNSS,-0.0775,0.0541,4.078947368,0.2705,2.174723684
M2445,SFR,0.00055,0.0001,0,0.25,0.08,0.095052,0.1918,2SEG,1,GNSS,-0.076052,0.0082,4.002736842,0.041,2.021868421
M2446,SFR,0.00055,0.0001,0,0.5,0.03,0.097662,0.1024,2SEG,1,GNSS,-0.078662,0.0976,4.140105263,0.488,2.314052632
M2447,SFR,0.00055,0.0001,0,0.5,0.035,0.097389,0.1122,2SEG,1,GNSS,-0.078389,0.0878,4.125736842,0.439,2.282368421
M2448,SFR,0.00055,0.0001,0,0.5,0.04,0.097134,0.1213,2SEG,1,GNSS,-0.078134,0.0787,4.112315789,0.3935,2.252907895
M2449,SFR,0.00055,0.0001,0,0.5,0.05,0.09654,0.1382,2SEG,1,GNSS,-0.07754,0.0618,4.081052632,0.309,2.195026316
M2450,SFR,0.00055,0.0001,0,0.5,0.08,0.095124,0.1816,2SEG,1,GNSS,-0.076124,0.0184,4.006526316,0.092,2.049263158
M2451,SFR,0.00055,0.0001,0.25,-0.5,0.03,0.097585,0.1424,2SEG,1,GNSS,-0.078585,0.0576,4.136052632,0.288,2.212026316
M2452,SFR,0.00055,0.0001,0.25,-0.5,0.035,0.097282,0.1559,2SEG,1,GNSS,-0.078282,0.0441,4.120105263,0.2205,2.170302632
M2453,SFR,0.00055,0.0001,0.25,-0.5,0.04,0.096982,0.1686,2SEG,1,GNSS,-0.077982,0.0314,4.104315789,0.157,2.130657895
M2454,SFR,0.00055,0.0001,0.25,-0.5,0.05,0.096387,0.192,2SEG,1,GNSS,-0.077387,0.008,4.073,0.04,2.0565
M2455,SFR,0.00055,0.0001,0.25,-0.5,0.08,0.094852,0.2522,2SEG,1,GNSS,-0.075852,-0.0522,3.992210526,0.261,2.126605263
M2456,SFR,0.00055,0.0001,0.25,-0.25,0.03,0.097739,0.1262,2SEG,1,GNSS,-0.078739,0.0738,4.144157895,0.369,2.256578947
M2457,SFR,0.00055,0.0001,0.25,-0.25,0.035,0.097377,0.1381,2SEG,1,GNSS,-0.078377,0.0619,4.125105263,0.3095,2.217302632
M2458,SFR,0.00055,0.0001,0.25,-0.25,0.04,0.097102,0.1494,2SEG,1,GNSS,-0.078102,0.0506,4.110631579,0.253,2.181815789
M2459,SFR,0.00055,0.0001,0.25,-0.25,0.05,0.096534,0.1702,2SEG,1,GNSS,-0.077534,0.0298,4.080736842,0.149,2.114868421
M2460,SFR,0.00055,0.0001,0.25,-0.25,0.08,0.095096,0.2236,2SEG,1,GNSS,-0.076096,-0.0236,4.005052632,0.118,2.061526316
M2461,SFR,0.00055,0.0001,0.25,0,0.03,0.097775,0.1158,2SEG,1,GNSS,-0.078775,0.0842,4.146052632,0.421,2.283526316
M2462,SFR,0.00055,0.0001,0.25,0,0.035,0.097441,0.1267,2SEG,1,GNSS,-0.078441,0.0733,4.128473684,0.3665,2.247486842
M2463,SFR,0.00055,0.0001,0.25,0,0.04,0.097167,0.1371,2SEG,1,GNSS,-0.078167,0.0629,4.114052632,0.3145,2.214276316
M2464,SFR,0.00055,0.0001,0.25,0,0.05,0.096663,0.1562,2SEG,1,GNSS,-0.077663,0.0438,4.087526316,0.219,2.153263158
M2465,SFR,0.00055,0.0001,0.25,0,0.08,0.09524,0.2053,2SEG,1,GNSS,-0.07624,-0.0053,4.012631579,0.0265,2.019565789
M2466,SFR,0.00055,0.0001,0.25,0.25,0.03,0.097804,0.1083,2SEG,1,GNSS,-0.078804,0.0917,4.147578947,0.4585,2.303039474
M2467,SFR,0.00055,0.0001,0.25,0.25,0.035,0.097542,0.1186,2SEG,1,GNSS,-0.078542,0.0814,4.133789474,0.407,2.270394737
M2468,SFR,0.00055,0.0001,0.25,0.25,0.04,0.097218,0.1282,2SEG,1,GNSS,-0.078218,0.0718,4.116736842,0.359,2.237868421
M2469,SFR,0.00055,0.0001,0.25,0.25,0.05,0.096719,0.1461,2SEG,1,GNSS,-0.077719,0.0539,4.090473684,0.2695,2.179986842
M2470,SFR,0.00055,0.0001,0.25,0.25,0.08,0.095342,0.1921,2SEG,1,GNSS,-0.076342,0.0079,4.018,0.0395,2.02875
M2471,SFR,0.00055,0.0001,0.25,0.5,0.03,0.097822,0.1025,2SEG,1,GNSS,-0.078822,0.0975,4.148526316,0.4875,2.318013158
M2472,SFR,0.00055,0.0001,0.25,0.5,0.035,0.097563,0.1123,2SEG,1,GNSS,-0.078563,0.0877,4.134894737,0.4385,2.286697368
M2473,SFR,0.00055,0.0001,0.25,0.5,0.04,0.097322,0.1215,2SEG,1,GNSS,-0.078322,0.0785,4.122210526,0.3925,2.257355263
M2474,SFR,0.00055,0.0001,0.25,0.5,0.05,0.09676,0.1384,2SEG,1,GNSS,-0.07776,0.0616,4.092631579,0.308,2.200315789
M2475,SFR,0.00055,0.0001,0.25,0.5,0.08,0.095413,0.182,2SEG,1,GNSS,-0.076413,0.018,4.021736842,0.09,2.055868421
M2476,SFR,0.00055,0.0001,0.5,-0.5,0.03,0.097719,0.1425,2SEG,1,GNSS,-0.078719,0.0575,4.143105263,0.2875,2.215302632
M2477,SFR,0.00055,0.0001,0.5,-0.5,0.035,0.09742,0.156,2SEG,1,GNSS,-0.07842,0.044,4.127368421,0.22,2.173684211
M2478,SFR,0.00055,0.0001,0.5,-0.5,0.04,0.097131,0.1687,2SEG,1,GNSS,-0.078131,0.0313,4.112157895,0.1565,2.134328947
M2479,SFR,0.00055,0.0001,0.5,-0.5,0.05,0.096557,0.1922,2SEG,1,GNSS,-0.077557,0.0078,4.081947368,0.039,2.060473684
M2480,SFR,0.00055,0.0001,0.5,-0.5,0.08,0.095076,0.2525,2SEG,1,GNSS,-0.076076,-0.0525,4.004,0.2625,2.13325
M2481,SFR,0.00055,0.0001,0.5,-0.25,0.03,0.097862,0.1263,2SEG,1,GNSS,-0.078862,0.0737,4.150631579,0.3685,2.259565789
M2482,SFR,0.00055,0.0001,0.5,-0.25,0.035,0.097523,0.1382,2SEG,1,GNSS,-0.078523,0.0618,4.132789474,0.309,2.220894737
M2483,SFR,0.00055,0.0001,0.5,-0.25,0.04,0.097251,0.1495,2SEG,1,GNSS,-0.078251,0.0505,4.118473684,0.2525,2.185486842
M2484,SFR,0.00055,0.0001,0.5,-0.25,0.05,0.096705,0.1703,2SEG,1,GNSS,-0.077705,0.0297,4.089736842,0.1485,2.119118421
M2485,SFR,0.00055,0.0001,0.5,-0.25,0.08,0.095319,0.2239,2SEG,1,GNSS,-0.076319,-0.0239,4.016789474,0.1195,2.068144737
M2486,SFR,0.00055,0.0001,0.5,0,0.03,0.097898,0.1158,2SEG,1,GNSS,-0.078898,0.0842,4.152526316,0.421,2.286763158
M2487,SFR,0.00055,0.0001,0.5,0,0.035,0.097578,0.1268,2SEG,1,GNSS,-0.078578,0.0732,4.135684211,0.366,2.250842105
M2488,SFR,0.00055,0.0001,0.5,0,0.04,0.097315,0.1372,2SEG,1,GNSS,-0.078315,0.0628,4.121842105,0.314,2.217921053
M2489,SFR,0.00055,0.0001,0.5,0,0.05,0.096832,0.1564,2SEG,1,GNSS,-0.077832,0.0436,4.096421053,0.218,2.157210526
M2490,SFR,0.00055,0.0001,0.5,0,0.08,0.095463,0.2056,2SEG,1,GNSS,-0.076463,-0.0056,4.024368421,0.028,2.026184211
M2491,SFR,0.00055,0.0001,0.5,0.25,0.03,0.097927,0.1084,2SEG,1,GNSS,-0.078927,0.0916,4.154052632,0.458,2.306026316
M2492,SFR,0.00055,0.0001,0.5,0.25,0.035,0.097677,0.1187,2SEG,1,GNSS,-0.078677,0.0813,4.140894737,0.4065,2.273697368
M2493,SFR,0.00055,0.0001,0.5,0.25,0.04,0.097367,0.1283,2SEG,1,GNSS,-0.078367,0.0717,4.124578947,0.3585,2.241539474
M2494,SFR,0.00055,0.0001,0.5,0.25,0.05,0.096888,0.1463,2SEG,1,GNSS,-0.077888,0.0537,4.099368421,0.2685,2.183934211
M2495,SFR,0.00055,0.0001,0.5,0.25,0.08,0.095565,0.1924,2SEG,1,GNSS,-0.076565,0.0076,4.029736842,0.038,2.033868421
M2496,SFR,0.00055,0.0001,0.5,0.5,0.03,0.097945,0.1026,2SEG,1,GNSS,-0.078945,0.0974,4.155,0.487,2.321
M2497,SFR,0.00055,0.0001,0.5,0.5,0.035,0.097698,0.1124,2SEG,1,GNSS,-0.078698,0.0876,4.142,0.438,2.29
M2498,SFR,0.00055,0.0001,0.5,0.5,0.04,0.097467,0.1216,2SEG,1,GNSS,-0.078467,0.0784,4.129842105,0.392,2.260921053
M2499,SFR,0.00055,0.0001,0.5,0.5,0.05,0.096929,0.1385,2SEG,1,GNSS,-0.077929,0.0615,4.101526316,0.3075,2.204513158
M2500,SFR,0.00055,0.0001,0.5,0.5,0.08,0.095636,0.1822,2SEG,1,GNSS,-0.076636,0.0178,4.033473684,0.089,2.061236842
M2501,SFR,0.001,1.00E-06,-0.5,-0.5,0.03,0.10449,0.1485,2SEG,1,GNSS,-0.08549,0.0515,4.499473684,0.2575,2.378486842
M2502,SFR,0.001,1.00E-06,-0.5,-0.5,0.035,0.104,0.1624,2SEG,1,GNSS,-0.085,0.0376,4.473684211,0.188,2.330842105
M2503,SFR,0.001,1.00E-06,-0.5,-0.5,0.04,0.10354,0.1755,2SEG,1,GNSS,-0.08454,0.0245,4.449473684,0.1225,2.285986842
M2504,SFR,0.001,1.00E-06,-0.5,-0.5,0.05,0.10271,0.1997,2SEG,1,GNSS,-0.08371,0.0003,4.405789474,0.0015,2.203644737
M2505,SFR,0.001,1.00E-06,-0.5,-0.5,0.08,0.1006,0.2615,2SEG,1,GNSS,-0.0816,-0.0615,4.294736842,0.3075,2.301118421
M2506,SFR,0.001,1.00E-06,-0.5,-0.25,0.03,0.10449,0.1315,2SEG,1,GNSS,-0.08549,0.0685,4.499473684,0.3425,2.420986842
M2507,SFR,0.001,1.00E-06,-0.5,-0.25,0.035,0.104,0.1438,2SEG,1,GNSS,-0.085,0.0562,4.473684211,0.281,2.377342105
M2508,SFR,0.001,1.00E-06,-0.5,-0.25,0.04,0.10354,0.1554,2SEG,1,GNSS,-0.08454,0.0446,4.449473684,0.223,2.336236842
M2509,SFR,0.001,1.00E-06,-0.5,-0.25,0.05,0.1027,0.1768,2SEG,1,GNSS,-0.0837,0.0232,4.405263158,0.116,2.260631579
M2510,SFR,0.001,1.00E-06,-0.5,-0.25,0.08,0.1006,0.2315,2SEG,1,GNSS,-0.0816,-0.0315,4.294736842,0.1575,2.226118421
M2511,SFR,0.001,1.00E-06,-0.5,0,0.03,0.10449,0.1206,2SEG,1,GNSS,-0.08549,0.0794,4.499473684,0.397,2.448236842
M2512,SFR,0.001,1.00E-06,-0.5,0,0.035,0.104,0.1319,2SEG,1,GNSS,-0.085,0.0681,4.473684211,0.3405,2.407092105
M2513,SFR,0.001,1.00E-06,-0.5,0,0.04,0.10354,0.1425,2SEG,1,GNSS,-0.08454,0.0575,4.449473684,0.2875,2.368486842
M2514,SFR,0.001,1.00E-06,-0.5,0,0.05,0.1027,0.1622,2SEG,1,GNSS,-0.0837,0.0378,4.405263158,0.189,2.297131579
M2515,SFR,0.001,1.00E-06,-0.5,0,0.08,0.10059,0.2124,2SEG,1,GNSS,-0.08159,-0.0124,4.294210526,0.062,2.178105263
M2516,SFR,0.001,1.00E-06,-0.5,0.25,0.03,0.10448,0.1128,2SEG,1,GNSS,-0.08548,0.0872,4.498947368,0.436,2.467473684
M2517,SFR,0.001,1.00E-06,-0.5,0.25,0.035,0.104,0.1234,2SEG,1,GNSS,-0.085,0.0766,4.473684211,0.383,2.428342105
M2518,SFR,0.001,1.00E-06,-0.5,0.25,0.04,0.10354,0.1333,2SEG,1,GNSS,-0.08454,0.0667,4.449473684,0.3335,2.391486842
M2519,SFR,0.001,1.00E-06,-0.5,0.25,0.05,0.1027,0.1517,2SEG,1,GNSS,-0.0837,0.0483,4.405263158,0.2415,2.323381579
M2520,SFR,0.001,1.00E-06,-0.5,0.25,0.08,0.10059,0.1986,2SEG,1,GNSS,-0.08159,0.0014,4.294210526,0.007,2.150605263
M2521,SFR,0.001,1.00E-06,-0.5,0.5,0.03,0.10448,0.1068,2SEG,1,GNSS,-0.08548,0.0932,4.498947368,0.466,2.482473684
M2522,SFR,0.001,1.00E-06,-0.5,0.5,0.035,0.104,0.1168,2SEG,1,GNSS,-0.085,0.0832,4.473684211,0.416,2.444842105
M2523,SFR,0.001,1.00E-06,-0.5,0.5,0.04,0.10354,0.1262,2SEG,1,GNSS,-0.08454,0.0738,4.449473684,0.369,2.409236842
M2524,SFR,0.001,1.00E-06,-0.5,0.5,0.05,0.1027,0.1436,2SEG,1,GNSS,-0.0837,0.0564,4.405263158,0.282,2.343631579
M2525,SFR,0.001,1.00E-06,-0.5,0.5,0.08,0.10059,0.1881,2SEG,1,GNSS,-0.08159,0.0119,4.294210526,0.0595,2.176855263
M2526,SFR,0.001,1.00E-06,-0.25,-0.5,0.03,0.10507,0.149,2SEG,1,GNSS,-0.08607,0.051,4.53,0.255,2.3925
M2527,SFR,0.001,1.00E-06,-0.25,-0.5,0.035,0.10463,0.163,2SEG,1,GNSS,-0.08563,0.037,4.506842105,0.185,2.345921053
M2528,SFR,0.001,1.00E-06,-0.25,-0.5,0.04,0.10423,0.1762,2SEG,1,GNSS,-0.08523,0.0238,4.485789474,0.119,2.302394737
M2529,SFR,0.001,1.00E-06,-0.25,-0.5,0.05,0.10347,0.2006,2SEG,1,GNSS,-0.08447,-0.0006,4.445789474,0.003,2.224394737
M2530,SFR,0.001,1.00E-06,-0.25,-0.5,0.08,0.10157,0.263,2SEG,1,GNSS,-0.08257,-0.063,4.345789474,0.315,2.330394737
M2531,SFR,0.001,1.00E-06,-0.25,-0.25,0.03,0.10507,0.1319,2SEG,1,GNSS,-0.08607,0.0681,4.53,0.3405,2.43525
M2532,SFR,0.001,1.00E-06,-0.25,-0.25,0.035,0.10463,0.1443,2SEG,1,GNSS,-0.08563,0.0557,4.506842105,0.2785,2.392671053
M2533,SFR,0.001,1.00E-06,-0.25,-0.25,0.04,0.10422,0.156,2SEG,1,GNSS,-0.08522,0.044,4.485263158,0.22,2.352631579
M2534,SFR,0.001,1.00E-06,-0.25,-0.25,0.05,0.10347,0.1776,2SEG,1,GNSS,-0.08447,0.0224,4.445789474,0.112,2.278894737
M2535,SFR,0.001,1.00E-06,-0.25,-0.25,0.08,0.10157,0.2329,2SEG,1,GNSS,-0.08257,-0.0329,4.345789474,0.1645,2.255144737
M2536,SFR,0.001,1.00E-06,-0.25,0,0.03,0.10507,0.121,2SEG,1,GNSS,-0.08607,0.079,4.53,0.395,2.4625
M2537,SFR,0.001,1.00E-06,-0.25,0,0.035,0.10463,0.1324,2SEG,1,GNSS,-0.08563,0.0676,4.506842105,0.338,2.422421053
M2538,SFR,0.001,1.00E-06,-0.25,0,0.04,0.10422,0.1431,2SEG,1,GNSS,-0.08522,0.0569,4.485263158,0.2845,2.384881579
M2539,SFR,0.001,1.00E-06,-0.25,0,0.05,0.10347,0.1629,2SEG,1,GNSS,-0.08447,0.0371,4.445789474,0.1855,2.315644737
M2540,SFR,0.001,1.00E-06,-0.25,0,0.08,0.10157,0.2136,2SEG,1,GNSS,-0.08257,-0.0136,4.345789474,0.068,2.206894737
M2541,SFR,0.001,1.00E-06,-0.25,0.25,0.03,0.10507,0.1132,2SEG,1,GNSS,-0.08607,0.0868,4.53,0.434,2.482
M2542,SFR,0.001,1.00E-06,-0.25,0.25,0.035,0.10463,0.1238,2SEG,1,GNSS,-0.08563,0.0762,4.506842105,0.381,2.443921053
M2543,SFR,0.001,1.00E-06,-0.25,0.25,0.04,0.10422,0.1338,2SEG,1,GNSS,-0.08522,0.0662,4.485263158,0.331,2.408131579
M2544,SFR,0.001,1.00E-06,-0.25,0.25,0.05,0.10347,0.1524,2SEG,1,GNSS,-0.08447,0.0476,4.445789474,0.238,2.341894737
M2545,SFR,0.001,1.00E-06,-0.25,0.25,0.08,0.10156,0.1998,2SEG,1,GNSS,-0.08256,0.0002,4.345263158,0.001,2.173131579
M2546,SFR,0.001,1.00E-06,-0.25,0.5,0.03,0.10507,0.1071,2SEG,1,GNSS,-0.08607,0.0929,4.53,0.4645,2.49725
M2547,SFR,0.001,1.00E-06,-0.25,0.5,0.035,0.10463,0.1172,2SEG,1,GNSS,-0.08563,0.0828,4.506842105,0.414,2.460421053
M2548,SFR,0.001,1.00E-06,-0.25,0.5,0.04,0.10422,0.1267,2SEG,1,GNSS,-0.08522,0.0733,4.485263158,0.3665,2.425881579
M2549,SFR,0.001,1.00E-06,-0.25,0.5,0.05,0.10347,0.1442,2SEG,1,GNSS,-0.08447,0.0558,4.445789474,0.279,2.362394737
M2550,SFR,0.001,1.00E-06,-0.25,0.5,0.08,0.10156,0.1891,2SEG,1,GNSS,-0.08256,0.0109,4.345263158,0.0545,2.199881579
M2551,SFR,0.001,1.00E-06,0,-0.5,0.03,0.10548,0.1493,2SEG,1,GNSS,-0.08648,0.0507,4.551578947,0.2535,2.402539474
M2552,SFR,0.001,1.00E-06,0,-0.5,0.035,0.10504,0.1634,2SEG,1,GNSS,-0.08604,0.0366,4.528421053,0.183,2.355710526
M2553,SFR,0.001,1.00E-06,0,-0.5,0.04,0.10467,0.1766,2SEG,1,GNSS,-0.08567,0.0234,4.508947368,0.117,2.312973684
M2554,SFR,0.001,1.00E-06,0,-0.5,0.05,0.10397,0.2011,2SEG,1,GNSS,-0.08497,-0.0011,4.472105263,0.0055,2.238802632
M2555,SFR,0.001,1.00E-06,0,-0.5,0.08,0.10221,0.264,2SEG,1,GNSS,-0.08321,-0.064,4.379473684,0.32,2.349736842
M2556,SFR,0.001,1.00E-06,0,-0.25,0.03,0.10547,0.1322,2SEG,1,GNSS,-0.08647,0.0678,4.551052632,0.339,2.445026316
M2557,SFR,0.001,1.00E-06,0,-0.25,0.035,0.10504,0.1447,2SEG,1,GNSS,-0.08604,0.0553,4.528421053,0.2765,2.402460526
M2558,SFR,0.001,1.00E-06,0,-0.25,0.04,0.10466,0.1564,2SEG,1,GNSS,-0.08566,0.0436,4.508421053,0.218,2.363210526
M2559,SFR,0.001,1.00E-06,0,-0.25,0.05,0.10397,0.1781,2SEG,1,GNSS,-0.08497,0.0219,4.472105263,0.1095,2.290802632
M2560,SFR,0.001,1.00E-06,0,-0.25,0.08,0.1022,0.2337,2SEG,1,GNSS,-0.0832,-0.0337,4.378947368,0.1685,2.273723684
M2561,SFR,0.001,1.00E-06,0,0,0.03,0.10547,0.1213,2SEG,1,GNSS,-0.08647,0.0787,4.551052632,0.3935,2.472276316
M2562,SFR,0.001,1.00E-06,0,0,0.035,0.10504,0.1327,2SEG,1,GNSS,-0.08604,0.0673,4.528421053,0.3365,2.432460526
M2563,SFR,0.001,1.00E-06,0,0,0.04,0.10466,0.1435,2SEG,1,GNSS,-0.08566,0.0565,4.508421053,0.2825,2.395460526
M2564,SFR,0.001,1.00E-06,0,0,0.05,0.10397,0.1634,2SEG,1,GNSS,-0.08497,0.0366,4.472105263,0.183,2.327552632
M2565,SFR,0.001,1.00E-06,0,0,0.08,0.1022,0.2144,2SEG,1,GNSS,-0.0832,-0.0144,4.378947368,0.072,2.225473684
M2566,SFR,0.001,1.00E-06,0,0.25,0.03,0.10547,0.1134,2SEG,1,GNSS,-0.08647,0.0866,4.551052632,0.433,2.492026316
M2567,SFR,0.001,1.00E-06,0,0.25,0.035,0.10504,0.1241,2SEG,1,GNSS,-0.08604,0.0759,4.528421053,0.3795,2.453960526
M2568,SFR,0.001,1.00E-06,0,0.25,0.04,0.10466,0.1342,2SEG,1,GNSS,-0.08566,0.0658,4.508421053,0.329,2.418710526
M2569,SFR,0.001,1.00E-06,0,0.25,0.05,0.10397,0.1528,2SEG,1,GNSS,-0.08497,0.0472,4.472105263,0.236,2.354052632
M2570,SFR,0.001,1.00E-06,0,0.25,0.08,0.1022,0.2005,2SEG,1,GNSS,-0.0832,-0.0005,4.378947368,0.0025,2.190723684
M2571,SFR,0.001,1.00E-06,0,0.5,0.03,0.10547,0.1074,2SEG,1,GNSS,-0.08647,0.0926,4.551052632,0.463,2.507026316
M2572,SFR,0.001,1.00E-06,0,0.5,0.035,0.10504,0.1175,2SEG,1,GNSS,-0.08604,0.0825,4.528421053,0.4125,2.470460526
M2573,SFR,0.001,1.00E-06,0,0.5,0.04,0.10466,0.127,2SEG,1,GNSS,-0.08566,0.073,4.508421053,0.365,2.436710526
M2574,SFR,0.001,1.00E-06,0,0.5,0.05,0.10397,0.1447,2SEG,1,GNSS,-0.08497,0.0553,4.472105263,0.2765,2.374302632
M2575,SFR,0.001,1.00E-06,0,0.5,0.08,0.1022,0.1898,2SEG,1,GNSS,-0.0832,0.0102,4.378947368,0.051,2.214973684
M2576,SFR,0.001,1.00E-06,0.25,-0.5,0.03,0.10575,0.1496,2SEG,1,GNSS,-0.08675,0.0504,4.565789474,0.252,2.408894737
M2577,SFR,0.001,1.00E-06,0.25,-0.5,0.035,0.10537,0.1637,2SEG,1,GNSS,-0.08637,0.0363,4.545789474,0.1815,2.363644737
M2578,SFR,0.001,1.00E-06,0.25,-0.5,0.04,0.10498,0.177,2SEG,1,GNSS,-0.08598,0.023,4.525263158,0.115,2.320131579
M2579,SFR,0.001,1.00E-06,0.25,-0.5,0.05,0.10433,0.2016,2SEG,1,GNSS,-0.08533,-0.0016,4.491052632,0.008,2.249526316
M2580,SFR,0.001,1.00E-06,0.25,-0.5,0.08,0.10267,0.2647,2SEG,1,GNSS,-0.08367,-0.0647,4.403684211,0.3235,2.363592105
M2581,SFR,0.001,1.00E-06,0.25,-0.25,0.03,0.10575,0.1324,2SEG,1,GNSS,-0.08675,0.0676,4.565789474,0.338,2.451894737
M2582,SFR,0.001,1.00E-06,0.25,-0.25,0.035,0.10537,0.1449,2SEG,1,GNSS,-0.08637,0.0551,4.545789474,0.2755,2.410644737
M2583,SFR,0.001,1.00E-06,0.25,-0.25,0.04,0.10498,0.1567,2SEG,1,GNSS,-0.08598,0.0433,4.525263158,0.2165,2.370881579
M2584,SFR,0.001,1.00E-06,0.25,-0.25,0.05,0.10433,0.1785,2SEG,1,GNSS,-0.08533,0.0215,4.491052632,0.1075,2.299276316
M2585,SFR,0.001,1.00E-06,0.25,-0.25,0.08,0.10266,0.2343,2SEG,1,GNSS,-0.08366,-0.0343,4.403157895,0.1715,2.287328947
M2586,SFR,0.001,1.00E-06,0.25,0,0.03,0.10574,0.1215,2SEG,1,GNSS,-0.08674,0.0785,4.565263158,0.3925,2.478881579
M2587,SFR,0.001,1.00E-06,0.25,0,0.035,0.10537,0.133,2SEG,1,GNSS,-0.08637,0.067,4.545789474,0.335,2.440394737
M2588,SFR,0.001,1.00E-06,0.25,0,0.04,0.10498,0.1437,2SEG,1,GNSS,-0.08598,0.0563,4.525263158,0.2815,2.403381579
M2589,SFR,0.001,1.00E-06,0.25,0,0.05,0.10433,0.1637,2SEG,1,GNSS,-0.08533,0.0363,4.491052632,0.1815,2.336276316
M2590,SFR,0.001,1.00E-06,0.25,0,0.08,0.10266,0.215,2SEG,1,GNSS,-0.08366,-0.015,4.403157895,0.075,2.239078947
M2591,SFR,0.001,1.00E-06,0.25,0.25,0.03,0.10574,0.1136,2SEG,1,GNSS,-0.08674,0.0864,4.565263158,0.432,2.498631579
M2592,SFR,0.001,1.00E-06,0.25,0.25,0.035,0.10537,0.1244,2SEG,1,GNSS,-0.08637,0.0756,4.545789474,0.378,2.461894737
M2593,SFR,0.001,1.00E-06,0.25,0.25,0.04,0.10498,0.1344,2SEG,1,GNSS,-0.08598,0.0656,4.525263158,0.328,2.426631579
M2594,SFR,0.001,1.00E-06,0.25,0.25,0.05,0.10433,0.1531,2SEG,1,GNSS,-0.08533,0.0469,4.491052632,0.2345,2.362776316
M2595,SFR,0.001,1.00E-06,0.25,0.25,0.08,0.10266,0.201,2SEG,1,GNSS,-0.08366,-0.001,4.403157895,0.005,2.204078947
M2596,SFR,0.001,1.00E-06,0.25,0.5,0.03,0.10574,0.1076,2SEG,1,GNSS,-0.08674,0.0924,4.565263158,0.462,2.513631579
M2597,SFR,0.001,1.00E-06,0.25,0.5,0.035,0.10537,0.1177,2SEG,1,GNSS,-0.08637,0.0823,4.545789474,0.4115,2.478644737
M2598,SFR,0.001,1.00E-06,0.25,0.5,0.04,0.10498,0.1273,2SEG,1,GNSS,-0.08598,0.0727,4.525263158,0.3635,2.444381579
M2599,SFR,0.001,1.00E-06,0.25,0.5,0.05,0.10433,0.145,2SEG,1,GNSS,-0.08533,0.055,4.491052632,0.275,2.383026316
M2600,SFR,0.001,1.00E-06,0.25,0.5,0.08,0.10266,0.1903,2SEG,1,GNSS,-0.08366,0.0097,4.403157895,0.0485,2.225828947
M2601,SFR,0.001,1.00E-06,0.5,-0.5,0.03,0.10596,0.1497,2SEG,1,GNSS,-0.08696,0.0503,4.576842105,0.2515,2.414171053
M2602,SFR,0.001,1.00E-06,0.5,-0.5,0.035,0.1056,0.1639,2SEG,1,GNSS,-0.0866,0.0361,4.557894737,0.1805,2.369197368
M2603,SFR,0.001,1.00E-06,0.5,-0.5,0.04,0.10523,0.1772,2SEG,1,GNSS,-0.08623,0.0228,4.538421053,0.114,2.326210526
M2604,SFR,0.001,1.00E-06,0.5,-0.5,0.05,0.10461,0.2019,2SEG,1,GNSS,-0.08561,-0.0019,4.505789474,0.0095,2.257644737
M2605,SFR,0.001,1.00E-06,0.5,-0.5,0.08,0.10302,0.2652,2SEG,1,GNSS,-0.08402,-0.0652,4.422105263,0.326,2.374052632
M2606,SFR,0.001,1.00E-06,0.5,-0.25,0.03,0.10596,0.1326,2SEG,1,GNSS,-0.08696,0.0674,4.576842105,0.337,2.456921053
M2607,SFR,0.001,1.00E-06,0.5,-0.25,0.035,0.1056,0.1451,2SEG,1,GNSS,-0.0866,0.0549,4.557894737,0.2745,2.416197368
M2608,SFR,0.001,1.00E-06,0.5,-0.25,0.04,0.10523,0.1569,2SEG,1,GNSS,-0.08623,0.0431,4.538421053,0.2155,2.376960526
M2609,SFR,0.001,1.00E-06,0.5,-0.25,0.05,0.10461,0.1788,2SEG,1,GNSS,-0.08561,0.0212,4.505789474,0.106,2.305894737
M2610,SFR,0.001,1.00E-06,0.5,-0.25,0.08,0.10302,0.2348,2SEG,1,GNSS,-0.08402,-0.0348,4.422105263,0.174,2.298052632
M2611,SFR,0.001,1.00E-06,0.5,0,0.03,0.10595,0.1216,2SEG,1,GNSS,-0.08695,0.0784,4.576315789,0.392,2.484157895
M2612,SFR,0.001,1.00E-06,0.5,0,0.035,0.1056,0.1331,2SEG,1,GNSS,-0.0866,0.0669,4.557894737,0.3345,2.446197368
M2613,SFR,0.001,1.00E-06,0.5,0,0.04,0.10523,0.1439,2SEG,1,GNSS,-0.08623,0.0561,4.538421053,0.2805,2.409460526
M2614,SFR,0.001,1.00E-06,0.5,0,0.05,0.1046,0.164,2SEG,1,GNSS,-0.0856,0.036,4.505263158,0.18,2.342631579
