model,package,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M33,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.04,0.017422,0.0816,nSEG,1,GNSS,0.001578,0.1184,0.083052632,0.592,0.337526316
M34,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.05,0.017361,0.09315,nSEG,1,GNSS,0.001639,0.10685,0.086263158,0.53425,0.310256579
M35,LAK+SFR,1.00E-05,5.50E-06,,-0.25,0.08,0.017205,0.123,nSEG,1,GNSS,0.001795,0.077,0.094473684,0.385,0.239736842
M36,LAK+SFR,1.00E-05,5.50E-06,,0,0.03,0.017518,0.06304,nSEG,1,GNSS,0.001482,0.13696,0.078,0.6848,0.3814
M37,LAK+SFR,1.00E-05,5.50E-06,,0,0.035,0.017482,0.06912,nSEG,1,GNSS,0.001518,0.13088,0.079894737,0.6544,0.367147368
M38,LAK+SFR,1.00E-05,5.50E-06,,0,0.04,0.017448,0.07488,nSEG,1,GNSS,0.001552,0.12512,0.081684211,0.6256,0.353642105
M39,LAK+SFR,1.00E-05,5.50E-06,,0,0.05,0.017391,0.08551,nSEG,1,GNSS,0.001609,0.11449,0.084684211,0.57245,0.328567105
M40,LAK+SFR,1.00E-05,5.50E-06,,0,0.08,0.017247,0.1129,nSEG,1,GNSS,0.001753,0.0871,0.092263158,0.4355,0.263881579
M41,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.03,0.017512,0.05908,nSEG,1,GNSS,0.001488,0.14092,0.078315789,0.7046,0.391457895
M42,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.035,0.017499,0.06464,nSEG,1,GNSS,0.001501,0.13536,0.079,0.6768,0.3779
M43,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.04,0.017467,0.07001,nSEG,1,GNSS,0.001533,0.12999,0.080684211,0.64995,0.365317105
M44,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.05,0.01741,0.07999,nSEG,1,GNSS,0.00159,0.12001,0.083684211,0.60005,0.341867105
M45,LAK+SFR,1.00E-05,5.50E-06,,0.25,0.08,0.017275,0.1057,nSEG,1,GNSS,0.001725,0.0943,0.090789474,0.4715,0.281144737
M46,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.03,0.01755,0.05576,nSEG,1,GNSS,0.00145,0.14424,0.076315789,0.7212,0.398757895
M47,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.035,0.017478,0.06141,nSEG,1,GNSS,0.001522,0.13859,0.080105263,0.69295,0.386527632
M48,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.04,0.01748,0.06627,nSEG,1,GNSS,0.00152,0.13373,0.08,0.66865,0.374325
M49,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.05,0.017423,0.07574,nSEG,1,GNSS,0.001577,0.12426,0.083,0.6213,0.35215
M50,LAK+SFR,1.00E-05,5.50E-06,,0.5,0.08,0.017295,0.1001,nSEG,1,GNSS,0.001705,0.0999,0.089736842,0.4995,0.294618421
M51,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.03,0.021566,0.08806,nSEG,1,GNSS,-0.002566,0.11194,0.135052632,0.5597,0.347376316
M52,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.035,0.021512,0.09651,nSEG,1,GNSS,-0.002512,0.10349,0.132210526,0.51745,0.324830263
M53,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.04,0.021462,0.1045,nSEG,1,GNSS,-0.002462,0.0955,0.129578947,0.4775,0.303539474
M54,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.05,0.021373,0.1192,nSEG,1,GNSS,-0.002373,0.0808,0.124894737,0.404,0.264447368
M55,LAK+SFR,1.00E-05,1.00E-05,,-0.5,0.08,0.021153,0.1574,nSEG,1,GNSS,-0.002153,0.0426,0.113315789,0.213,0.163157895
M56,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.03,0.021628,0.07798,nSEG,1,GNSS,-0.002628,0.12202,0.138315789,0.6101,0.374207895
M57,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.035,0.021574,0.08552,nSEG,1,GNSS,-0.002574,0.11448,0.135473684,0.5724,0.353936842
M58,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.04,0.021527,0.0926,nSEG,1,GNSS,-0.002527,0.1074,0.133,0.537,0.335
M59,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.05,0.021445,0.1057,nSEG,1,GNSS,-0.002445,0.0943,0.128684211,0.4715,0.300092105
M60,LAK+SFR,1.00E-05,1.00E-05,,-0.25,0.08,0.021244,0.1396,nSEG,1,GNSS,-0.002244,0.0604,0.118105263,0.302,0.210052632
M61,LAK+SFR,1.00E-05,1.00E-05,,0,0.03,0.021665,0.07155,nSEG,1,GNSS,-0.002665,0.12845,0.140263158,0.64225,0.391256579
M62,LAK+SFR,1.00E-05,1.00E-05,,0,0.035,0.021615,0.07845,nSEG,1,GNSS,-0.002615,0.12155,0.137631579,0.60775,0.372690789
M63,LAK+SFR,1.00E-05,1.00E-05,,0,0.04,0.021568,0.08497,nSEG,1,GNSS,-0.002568,0.11503,0.135157895,0.57515,0.355153947
M64,LAK+SFR,1.00E-05,1.00E-05,,0,0.05,0.021489,0.09704,nSEG,1,GNSS,-0.002489,0.10296,0.131,0.5148,0.3229
M65,LAK+SFR,1.00E-05,1.00E-05,,0,0.08,0.0213,0.1282,nSEG,1,GNSS,-0.0023,0.0718,0.121052632,0.359,0.240026316
M66,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.03,0.021668,0.06703,nSEG,1,GNSS,-0.002668,0.13297,0.140421053,0.66485,0.402635526
M67,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.035,0.021642,0.07337,nSEG,1,GNSS,-0.002642,0.12663,0.139052632,0.63315,0.386101316
M68,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.04,0.021597,0.07946,nSEG,1,GNSS,-0.002597,0.12054,0.136684211,0.6027,0.369692105
M69,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.05,0.021519,0.09079,nSEG,1,GNSS,-0.002519,0.10921,0.132578947,0.54605,0.339314474
M70,LAK+SFR,1.00E-05,1.00E-05,,0.25,0.08,0.021339,0.12,nSEG,1,GNSS,-0.002339,0.08,0.123105263,0.4,0.261552632
M71,LAK+SFR,1.00E-05,1.00E-05,,0.5,0.03,0.021717,0.0633,nSEG,1,GNSS,-0.002717,0.1367,0.143,0.6835,0.41325
M72,LAK+SFR,1.00E-05,1.00E-05,,0.5,0.035,0.021627,0.06966,nSEG,1,GNSS,-0.002627,0.13034,0.138263158,0.6517,0.394981579
M73,LAK+SFR,1.00E-05,1.00E-05,,0.5,0.04,0.021619,0.07522,nSEG,1,GNSS,-0.002619,0.12478,0.137842105,0.6239,0.380871053
M74,LAK+SFR,1.00E-05,1.00E-05,,0.5,0.05,0.021542,0.08597,nSEG,1,GNSS,-0.002542,0.11403,0.133789474,0.57015,0.351969737
M75,LAK+SFR,1.00E-05,1.00E-05,,0.5,0.08,0.021368,0.1137,nSEG,1,GNSS,-0.002368,0.0863,0.124631579,0.4315,0.278065789
M76,LAK+SFR,1.00E-05,5.50E-05,,-0.5,0.03,0.049607,0.1447,nSEG,1,GNSS,-0.030607,0.0553,1.610894737,0.2765,0.943697368
M77,LAK+SFR,1.00E-05,5.50E-05,,-0.5,0.035,0.049483,0.1585,nSEG,1,GNSS,-0.030483,0.0415,1.604368421,0.2075,0.905934211
M78,LAK+SFR,1.00E-05,5.50E-05,,-0.5,0.04,0.049368,0.1715,nSEG,1,GNSS,-0.030368,0.0285,1.598315789,0.1425,0.870407895
M79,LAK+SFR,1.00E-05,5.50E-05,,-0.5,0.05,0.049141,0.1956,nSEG,1,GNSS,-0.030141,0.0044,1.586368421,0.022,0.804184211
M80,LAK+SFR,1.00E-05,5.50E-05,,-0.5,0.08,0.048539,0.2577,nSEG,1,GNSS,-0.029539,-0.0577,1.554684211,0.2885,0.921592105
M81,LAK+SFR,1.00E-05,5.50E-05,,-0.25,0.03,0.049734,0.1283,nSEG,1,GNSS,-0.030734,0.0717,1.617578947,0.3585,0.988039474
M82,LAK+SFR,1.00E-05,5.50E-05,,-0.25,0.035,0.049634,0.1406,nSEG,1,GNSS,-0.030634,0.0594,1.612315789,0.297,0.954657895
M83,LAK+SFR,1.00E-05,5.50E-05,,-0.25,0.04,0.049531,0.1521,nSEG,1,GNSS,-0.030531,0.0479,1.606894737,0.2395,0.923197368
M84,LAK+SFR,1.00E-05,5.50E-05,,-0.25,0.05,0.049342,0.1735,nSEG,1,GNSS,-0.030342,0.0265,1.596947368,0.1325,0.864723684
M85,LAK+SFR,1.00E-05,5.50E-05,,-0.25,0.08,0.04881,0.2288,nSEG,1,GNSS,-0.02981,-0.0288,1.568947368,0.144,0.856473684
M86,LAK+SFR,1.00E-05,5.50E-05,,0,0.03,0.049812,0.1178,nSEG,1,GNSS,-0.030812,0.0822,1.621684211,0.411,1.016342105
M87,LAK+SFR,1.00E-05,5.50E-05,,0,0.035,0.04972,0.1291,nSEG,1,GNSS,-0.03072,0.0709,1.616842105,0.3545,0.985671053
M88,LAK+SFR,1.00E-05,5.50E-05,,0,0.04,0.049633,0.1397,nSEG,1,GNSS,-0.030633,0.0603,1.612263158,0.3015,0.956881579
M89,LAK+SFR,1.00E-05,5.50E-05,,0,0.05,0.049459,0.1594,nSEG,1,GNSS,-0.030459,0.0406,1.603105263,0.203,0.903052632
M90,LAK+SFR,1.00E-05,5.50E-05,,0,0.08,0.048984,0.2103,nSEG,1,GNSS,-0.029984,-0.0103,1.578105263,0.0515,0.814802632
M91,LAK+SFR,1.00E-05,5.50E-05,,0.25,0.03,0.049877,0.1102,nSEG,1,GNSS,-0.030877,0.0898,1.625105263,0.449,1.037052632
M92,LAK+SFR,1.00E-05,5.50E-05,,0.25,0.035,0.049779,0.1208,nSEG,1,GNSS,-0.030779,0.0792,1.619947368,0.396,1.007973684
M93,LAK+SFR,1.00E-05,5.50E-05,,0.25,0.04,0.049698,0.1308,nSEG,1,GNSS,-0.030698,0.0692,1.615684211,0.346,0.980842105
M94,LAK+SFR,1.00E-05,5.50E-05,,0.25,0.05,0.049545,0.1492,nSEG,1,GNSS,-0.030545,0.0508,1.607631579,0.254,0.930815789
M95,LAK+SFR,1.00E-05,5.50E-05,,0.25,0.08,0.049106,0.1969,nSEG,1,GNSS,-0.030106,0.0031,1.584526316,0.0155,0.800013158
M96,LAK+SFR,1.00E-05,5.50E-05,,0.5,0.03,0.049942,0.1045,nSEG,1,GNSS,-0.030942,0.0955,1.628526316,0.4775,1.053013158
M97,LAK+SFR,1.00E-05,5.50E-05,,0.5,0.035,0.049845,0.1144,nSEG,1,GNSS,-0.030845,0.0856,1.623421053,0.428,1.025710526
M98,LAK+SFR,1.00E-05,5.50E-05,,0.5,0.04,0.049746,0.1239,nSEG,1,GNSS,-0.030746,0.0761,1.618210526,0.3805,0.999355263
M99,LAK+SFR,1.00E-05,5.50E-05,,0.5,0.05,0.049604,0.1414,nSEG,1,GNSS,-0.030604,0.0586,1.610736842,0.293,0.951868421
M100,LAK+SFR,1.00E-05,5.50E-05,,0.5,0.08,0.049192,0.1866,nSEG,1,GNSS,-0.030192,0.0134,1.589052632,0.067,0.828026316
M101,LAK+SFR,1.00E-05,0.0001,,-0.5,0.03,0.06569,0.1713,nSEG,1,GNSS,-0.04669,0.0287,2.457368421,0.1435,1.300434211
M102,LAK+SFR,1.00E-05,0.0001,,-0.5,0.035,0.065618,0.1877,nSEG,1,GNSS,-0.046618,0.0123,2.453578947,0.0615,1.257539474
M103,LAK+SFR,1.00E-05,0.0001,,-0.5,0.04,0.065513,0.2032,nSEG,1,GNSS,-0.046513,-0.0032,2.448052632,0.016,1.232026316
M104,LAK+SFR,1.00E-05,0.0001,,-0.5,0.05,0.06532,0.232,nSEG,1,GNSS,-0.04632,-0.032,2.437894737,0.16,1.298947368
M105,LAK+SFR,1.00E-05,0.0001,,-0.5,0.08,0.064626,0.3057,nSEG,1,GNSS,-0.045626,-0.1057,2.401368421,0.5285,1.464934211
M106,LAK+SFR,1.00E-05,0.0001,,-0.25,0.03,0.065777,0.1518,nSEG,1,GNSS,-0.046777,0.0482,2.461947368,0.241,1.351473684
M107,LAK+SFR,1.00E-05,0.0001,,-0.25,0.035,0.065708,0.1664,nSEG,1,GNSS,-0.046708,0.0336,2.458315789,0.168,1.313157895
M108,LAK+SFR,1.00E-05,0.0001,,-0.25,0.04,0.065635,0.1801,nSEG,1,GNSS,-0.046635,0.0199,2.454473684,0.0995,1.276986842
M109,LAK+SFR,1.00E-05,0.0001,,-0.25,0.05,0.06549,0.2057,nSEG,1,GNSS,-0.04649,-0.0057,2.446842105,0.0285,1.237671053
M110,LAK+SFR,1.00E-05,0.0001,,-0.25,0.08,0.064917,0.2714,nSEG,1,GNSS,-0.045917,-0.0714,2.416684211,0.357,1.386842105
M111,LAK+SFR,1.00E-05,0.0001,,0,0.03,0.065859,0.1393,nSEG,1,GNSS,-0.046859,0.0607,2.466263158,0.3035,1.384881579
M112,LAK+SFR,1.00E-05,0.0001,,0,0.035,0.065766,0.1527,nSEG,1,GNSS,-0.046766,0.0473,2.461368421,0.2365,1.348934211
M113,LAK+SFR,1.00E-05,0.0001,,0,0.04,0.065706,0.1653,nSEG,1,GNSS,-0.046706,0.0347,2.458210526,0.1735,1.315855263
M114,LAK+SFR,1.00E-05,0.0001,,0,0.05,0.065598,0.1888,nSEG,1,GNSS,-0.046598,0.0112,2.452526316,0.056,1.254263158
M115,LAK+SFR,1.00E-05,0.0001,,0,0.08,0.065189,0.2496,nSEG,1,GNSS,-0.046189,-0.0496,2.431,0.248,1.3395
M116,LAK+SFR,1.00E-05,0.0001,,0.25,0.03,0.065897,0.1303,nSEG,1,GNSS,-0.046897,0.0697,2.468263158,0.3485,1.408381579
