row,column,layer,node,Reach,Stage,Conductanc,Width,Length,Thickness,K,Flux_gw
84,72,1,0,100,124.627060,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000068
85,72,1,0,100,124.621990,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000068
85,73,1,0,100,124.619183,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000023
86,73,1,0,100,124.616150,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000068
87,73,1,0,100,124.611306,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000068
87,74,1,0,100,124.608499,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000023
88,74,1,0,100,124.604921,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000067
89,74,1,0,100,124.600622,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000045
89,75,1,0,100,124.597815,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000022
90,75,1,0,100,124.593692,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000089
91,75,1,0,100,124.589938,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000022
91,76,1,0,100,124.587130,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000044
92,76,1,0,100,124.585135,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000022
93,76,1,0,100,124.584641,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000022
93,77,1,0,100,124.584477,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000043
94,77,1,0,100,124.584187,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000085
95,77,1,0,100,124.584022,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000021
95,78,1,0,100,124.583858,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000062
96,78,1,0,100,124.583566,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000061
96,79,1,0,100,124.583402,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000020
97,79,1,0,100,124.583206,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000060
98,79,1,0,100,124.582947,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000040
98,80,1,0,100,124.582783,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000039
99,80,1,0,100,124.582553,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000058
100,80,1,0,100,124.582328,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000019
100,81,1,0,100,124.582164,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000038
101,81,1,0,100,124.581899,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000074
102,81,1,0,100,124.581709,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000018
102,82,1,0,100,124.581545,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000054
103,82,1,0,100,124.581253,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000072
103,83,1,0,100,124.581090,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000018
104,83,1,0,100,124.580918,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000052
105,83,1,0,100,124.580634,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000051
105,84,1,0,100,124.580471,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000017
106,84,1,0,100,124.580265,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000050
107,84,1,0,100,124.580015,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000033
107,85,1,0,100,124.579852,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000016
108,85,1,0,100,124.579611,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000064
109,85,1,0,100,124.579396,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000016
109,86,1,0,100,124.579232,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000031
110,86,1,0,100,124.578957,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000061
111,86,1,0,100,124.578777,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000015
111,87,1,0,100,124.578613,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000044
112,87,1,0,100,124.578321,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000044
112,88,1,0,100,124.578158,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000014
113,88,1,0,100,124.577976,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000042
114,88,1,0,100,124.577702,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000028
114,89,1,0,100,124.577539,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000027
115,89,1,0,100,124.577323,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000040
116,89,1,0,100,124.577083,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000026
116,90,1,0,100,124.576920,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000013
117,90,1,0,100,124.576669,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000050
118,90,1,0,100,124.576464,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000012
118,91,1,0,100,124.576301,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000024
119,91,1,0,100,124.576015,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000047
120,91,1,0,100,124.575845,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000012
120,92,1,0,100,124.575682,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000034
121,92,1,0,100,124.575389,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000033
121,93,1,0,100,124.575226,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000011
122,93,1,0,100,124.575035,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000032
123,93,1,0,100,124.574770,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000021
123,94,1,0,100,124.574607,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000010
124,94,1,0,100,124.574381,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000040
125,94,1,0,100,124.574151,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000010
125,95,1,0,100,124.574042,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000009
126,95,1,0,100,124.573433,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000037
127,95,1,0,100,124.572952,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000009
127,96,1,0,100,124.572580,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000017
128,96,1,0,100,124.571945,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000034
129,96,1,0,100,124.571532,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000008
129,97,1,0,100,124.571160,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000024
130,97,1,0,100,124.570483,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000023
130,98,1,0,100,124.570112,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000008
131,98,1,0,100,124.569715,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000022
132,98,1,0,100,124.569063,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000021
132,99,1,0,100,124.568691,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000007
133,99,1,0,100,124.568228,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000026
134,99,1,0,100,124.567643,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000012
134,100,1,0,100,124.567271,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000006
135,100,1,0,100,124.566741,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000023
136,100,1,0,100,124.566223,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000006
136,101,1,0,100,124.565851,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000011
137,101,1,0,100,124.565254,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000015
138,101,1,0,100,124.564803,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000005
138,102,1,0,100,124.564431,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000014
139,102,1,0,100,124.563767,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000013
140,102,1,0,100,124.563382,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000004
140,103,1,0,100,124.563011,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000015
141,103,1,0,100,124.562334,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000011
141,104,1,0,100,124.561962,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000003
142,104,1,0,100,124.561536,0.000182,2.270000,4.000000,0.500000,0.000010,-0.000012
143,104,1,0,100,124.560914,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000006
143,105,1,0,100,124.560542,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000003
144,105,1,0,100,124.560049,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000007
145,105,1,0,100,124.559494,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000004
145,106,1,0,100,124.559122,0.000091,2.270000,2.000000,0.500000,0.000010,-0.000004
146,106,1,0,100,124.558562,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000005
147,106,1,0,100,124.558073,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000001
147,107,1,0,100,124.557702,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000004
148,107,1,0,100,124.557075,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000003
149,107,1,0,100,124.556653,0.000045,2.270000,1.000000,0.500000,0.000010,-0.000001
149,108,1,0,100,124.556281,0.000136,2.270000,3.000000,0.500000,0.000010,-0.000001
