,r,c,M1
216,189,122,0.0
217,190,122,0.0
218,190,123,0.0
219,191,123,0.0
220,192,123,0.0
221,192,124,0.0
222,193,124,0.0
223,194,124,0.0
224,194,125,0.0
225,195,125,0.0
226,196,125,0.0
227,196,126,0.0
228,197,126,0.0
229,198,126,0.0
230,198,127,0.0
231,199,127,0.0
232,200,127,0.0
233,200,128,0.0
234,201,128,0.0
235,202,128,0.0
236,202,129,0.0
237,203,129,0.0
238,204,129,0.0
239,204,130,0.0
240,205,130,0.0
241,206,130,0.0
242,207,130,0.0
243,207,131,0.0
244,208,131,0.0
245,209,131,0.0
246,209,132,0.0
247,210,132,0.0
248,211,132,0.0
249,212,132,0.0
250,212,133,0.0
251,213,133,0.0
252,214,133,0.0
253,214,134,0.0
254,215,134,0.0
255,216,134,0.0
256,216,135,0.0
257,217,135,0.0
258,218,135,0.0
259,219,135,0.0
260,219,136,0.0
261,220,136,0.0
262,221,136,0.0
263,221,137,0.0
264,222,137,0.0
265,223,137,0.0
266,223,138,0.0
267,224,138,0.0
268,225,138,0.0
269,226,138,0.0
270,226,139,0.0
271,227,139,0.0
272,228,139,0.0
273,228,140,0.0
274,229,140,0.0
275,230,140,0.0
276,230,141,0.0
277,231,141,0.0
278,232,141,0.0
279,233,141,0.0
280,233,142,0.0
281,234,142,0.0
282,235,142,0.0
283,235,143,0.0
284,236,143,0.0
285,237,143,0.0
286,237,144,0.0
287,238,144,0.0
288,239,144,0.0
289,240,144,0.0
290,240,145,0.0
291,241,145,0.0
292,242,145,0.0
293,242,146,0.0
294,243,146,0.0
295,244,146,0.0
296,244,147,0.0
297,245,147,0.0
298,246,147,0.0
299,247,147,0.0
300,247,148,0.0
301,248,148,0.0
302,249,148,0.0
303,249,149,0.0
304,250,149,0.0
305,251,149,0.0
306,251,150,0.0
307,252,150,0.0
308,253,150,0.0
309,254,150,0.0
310,254,151,0.0
311,255,151,0.0
312,256,151,0.0
313,256,152,0.0
314,257,152,0.0
315,258,152,0.0
316,258,153,0.0
317,259,153,0.0
318,260,153,0.0
319,261,153,0.0
320,261,154,0.0
321,262,154,0.0
322,263,154,0.0
323,263,155,0.0
324,264,155,0.0
325,265,155,0.0
326,265,156,0.0
327,266,156,0.0
