,r,c,M1
0,45,50,-0.0018600171
1,46,50,-0.00275904
2,47,50,-0.0009169956
3,47,51,-0.0036194632
4,48,51,-0.0027144845
5,48,52,-0.0009090138
6,49,52,-0.003595299
7,50,52,-0.0018035178
8,50,53,-0.0009097408
