model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M1,1e-05,1e-06,-0.5,0.03,0.012942,0.06492,nSEG,1,GNSS,0.006057999999999999,0.13508,0.31884210526315787,0.6754,0.4971210526315789
M2,1e-05,1e-06,-0.5,0.035,0.012917,0.07114,nSEG,1,GNSS,0.006083,0.12886000000000003,0.3201578947368421,0.6443000000000001,0.4822289473684211
M3,1e-05,1e-06,-0.5,0.04,0.012893,0.07699,nSEG,1,GNSS,0.006107,0.12301000000000001,0.32142105263157894,0.61505,0.46823552631578946
M4,1e-05,1e-06,-0.5,0.05,0.012846,0.08784,nSEG,1,GNSS,0.006154,0.11216000000000001,0.32389473684210524,0.5608,0.4423473684210526
M5,1e-05,1e-06,-0.5,0.08,0.012719,0.1159,nSEG,1,GNSS,0.006281,0.08410000000000001,0.3305789473684211,0.42050000000000004,0.3755394736842106
M6,1e-05,1e-06,-0.25,0.03,0.012963,0.05748,nSEG,1,GNSS,0.006036999999999999,0.14252,0.3177368421052631,0.7126,0.5151684210526315
M7,1e-05,1e-06,-0.25,0.035,0.012939,0.06304,nSEG,1,GNSS,0.006060999999999999,0.13696000000000003,0.31899999999999995,0.6848000000000001,0.5019
M8,1e-05,1e-06,-0.25,0.04,0.012918,0.06825,nSEG,1,GNSS,0.006081999999999999,0.13175,0.32010526315789467,0.65875,0.4894276315789473
M9,1e-05,1e-06,-0.25,0.05,0.012879,0.07789,nSEG,1,GNSS,0.006121,0.12211000000000001,0.3221578947368421,0.61055,0.46635394736842106
M10,1e-05,1e-06,-0.25,0.08,0.012768,0.1028,nSEG,1,GNSS,0.006232,0.09720000000000001,0.328,0.48600000000000004,0.40700000000000003
M11,1e-05,1e-06,0.0,0.03,0.012972,0.05272,nSEG,1,GNSS,0.006028,0.14728000000000002,0.31726315789473686,0.7364,0.5268315789473684
M12,1e-05,1e-06,0.0,0.035,0.012951,0.05781,nSEG,1,GNSS,0.006048999999999999,0.14219,0.3183684210526315,0.71095,0.5146592105263157
M13,1e-05,1e-06,0.0,0.04,0.01293,0.06262,nSEG,1,GNSS,0.006069999999999999,0.13738,0.3194736842105263,0.6869,0.5031868421052631
M14,1e-05,1e-06,0.0,0.05,0.012895,0.0715,nSEG,1,GNSS,0.006104999999999999,0.1285,0.32131578947368417,0.6425,0.48190789473684204
M15,1e-05,1e-06,0.0,0.08,0.012796,0.09439,nSEG,1,GNSS,0.0062039999999999994,0.10561000000000001,0.32652631578947366,0.52805,0.42728815789473684
M16,1e-05,1e-06,0.25,0.03,0.012956,0.04945,nSEG,1,GNSS,0.006043999999999999,0.15055000000000002,0.31810526315789467,0.75275,0.5354276315789473
M17,1e-05,1e-06,0.25,0.035,0.012957,0.05405,nSEG,1,GNSS,0.006043,0.14595000000000002,0.31805263157894736,0.7297500000000001,0.5239013157894737
M18,1e-05,1e-06,0.25,0.04,0.012937,0.05855,nSEG,1,GNSS,0.006062999999999999,0.14145000000000002,0.31910526315789467,0.70725,0.5131776315789474
M19,1e-05,1e-06,0.25,0.05,0.012903,0.06689,nSEG,1,GNSS,0.006097,0.13311,0.3208947368421053,0.66555,0.4932223684210526
M20,1e-05,1e-06,0.25,0.08,0.012813,0.08833,nSEG,1,GNSS,0.006187,0.11167,0.32563157894736844,0.55835,0.4419907894736842
M21,1e-05,1e-06,0.5,0.03,0.012983,0.04662,nSEG,1,GNSS,0.006017,0.15338000000000002,0.3166842105263158,0.7669,0.5417921052631579
M22,1e-05,1e-06,0.5,0.035,0.012929,0.05141,nSEG,1,GNSS,0.006071,0.14859,0.3195263157894737,0.74295,0.5312381578947368
M23,1e-05,1e-06,0.5,0.04,0.012941,0.05541,nSEG,1,GNSS,0.006059,0.14459,0.3188947368421053,0.72295,0.5209223684210527
M24,1e-05,1e-06,0.5,0.05,0.012907,0.06333,nSEG,1,GNSS,0.0060929999999999995,0.13667,0.3206842105263158,0.68335,0.5020171052631579
M25,1e-05,1e-06,0.5,0.08,0.012824,0.08368,nSEG,1,GNSS,0.006175999999999999,0.11632,0.3250526315789473,0.5816,0.4533263157894737
M26,1e-05,5.5e-06,-0.5,0.03,0.017453,0.0776,nSEG,1,GNSS,0.0015469999999999998,0.12240000000000001,0.08142105263157894,0.612,0.34671052631578947
M27,1e-05,5.5e-06,-0.5,0.035,0.017413,0.08505,nSEG,1,GNSS,0.0015869999999999981,0.11495000000000001,0.08352631578947359,0.57475,0.32913815789473677
M28,1e-05,5.5e-06,-0.5,0.04,0.017377,0.09206,nSEG,1,GNSS,0.0016229999999999994,0.10794000000000001,0.08542105263157893,0.5397,0.31256052631578946
M29,1e-05,5.5e-06,-0.5,0.05,0.017309,0.1051,nSEG,1,GNSS,0.001690999999999998,0.09490000000000001,0.0889999999999999,0.47450000000000003,0.28174999999999994
M30,1e-05,5.5e-06,-0.5,0.08,0.017136,0.1387,nSEG,1,GNSS,0.001864000000000001,0.06130000000000002,0.09810526315789479,0.3065000000000001,0.20230263157894746
M31,1e-05,5.5e-06,-0.25,0.03,0.017495,0.06872,nSEG,1,GNSS,0.0015049999999999994,0.13128,0.07921052631578944,0.6564,0.3678052631578947
M32,1e-05,5.5e-06,-0.25,0.035,0.017455,0.07536,nSEG,1,GNSS,0.0015450000000000012,0.12464000000000001,0.08131578947368427,0.6232000000000001,0.35225789473684216
M33,1e-05,5.5e-06,-0.25,0.04,0.017422,0.0816,nSEG,1,GNSS,0.0015779999999999995,0.1184,0.08305263157894735,0.592,0.3375263157894737
M34,1e-05,5.5e-06,-0.25,0.05,0.017361,0.09315,nSEG,1,GNSS,0.001638999999999998,0.10685000000000001,0.08626315789473675,0.53425,0.31025657894736836
M35,1e-05,5.5e-06,-0.25,0.08,0.017205,0.123,nSEG,1,GNSS,0.001794999999999998,0.07700000000000001,0.09447368421052621,0.38500000000000006,0.23973684210526314
M36,1e-05,5.5e-06,0.0,0.03,0.017518,0.06304,nSEG,1,GNSS,0.0014820000000000007,0.13696000000000003,0.07800000000000004,0.6848000000000001,0.3814000000000001
