model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M691,1e-05,1e-05,0.25,0.03,0.022699,0.1019,nSEG,2,GNSS,-0.003699000000000001,0.0981,0.19468421052631585,0.4905,0.3425921052631579
M692,1e-05,1e-05,0.25,0.035,0.022672,0.1095,nSEG,2,GNSS,-0.0036720000000000017,0.09050000000000001,0.19326315789473694,0.4525,0.32288157894736846
M693,1e-05,1e-05,0.25,0.04,0.022626,0.1169,nSEG,2,GNSS,-0.0036260000000000008,0.08310000000000001,0.19084210526315795,0.41550000000000004,0.303171052631579
M694,1e-05,1e-05,0.25,0.05,0.022546,0.1304,nSEG,2,GNSS,-0.0035460000000000005,0.06960000000000002,0.18663157894736845,0.3480000000000001,0.2673157894736843
M695,1e-05,1e-05,0.25,0.08,0.022366,0.1649,nSEG,2,GNSS,-0.003366000000000001,0.03510000000000002,0.17715789473684215,0.1755000000000001,0.17632894736842114
M696,1e-05,1e-05,0.5,0.03,0.022748,0.09741,nSEG,2,GNSS,-0.0037480000000000013,0.10259000000000001,0.19726315789473692,0.51295,0.35510657894736847
M697,1e-05,1e-05,0.5,0.035,0.022657,0.1051,nSEG,2,GNSS,-0.0036570000000000005,0.09490000000000001,0.19247368421052635,0.47450000000000003,0.3334868421052632
M698,1e-05,1e-05,0.5,0.04,0.022648,0.1118,nSEG,2,GNSS,-0.003648000000000002,0.08820000000000001,0.19200000000000012,0.44100000000000006,0.3165000000000001
M699,1e-05,1e-05,0.5,0.05,0.022569,0.1246,nSEG,2,GNSS,-0.0035689999999999993,0.07540000000000001,0.18784210526315787,0.377,0.2824210526315789
M700,1e-05,1e-05,0.5,0.08,0.022394,0.1574,nSEG,2,GNSS,-0.003394000000000001,0.0426,0.17863157894736847,0.213,0.19581578947368422
M701,1e-05,5.5e-05,-0.5,0.03,0.052963,0.1954,nSEG,2,GNSS,-0.03396300000000001,0.004600000000000021,1.787526315789474,0.023000000000000104,0.9052631578947371
M702,1e-05,5.5e-05,-0.5,0.035,0.052865,0.2114,nSEG,2,GNSS,-0.033865000000000006,-0.011399999999999993,1.782368421052632,0.05699999999999997,0.919684210526316
M703,1e-05,5.5e-05,-0.5,0.04,0.052767,0.2265,nSEG,2,GNSS,-0.033767000000000005,-0.026499999999999996,1.7772105263157898,0.13249999999999998,0.9548552631578949
M704,1e-05,5.5e-05,-0.5,0.05,0.052601,0.2541,nSEG,2,GNSS,-0.033601000000000006,-0.05409999999999998,1.7684736842105266,0.2704999999999999,1.0194868421052632
M705,1e-05,5.5e-05,-0.5,0.08,0.052116,0.3232,nSEG,2,GNSS,-0.03311600000000001,-0.12319999999999998,1.742947368421053,0.6159999999999999,1.1794736842105265
M706,1e-05,5.5e-05,-0.25,0.03,0.053066,0.1762,nSEG,2,GNSS,-0.034066,0.023800000000000016,1.7929473684210526,0.11900000000000008,0.9559736842105263
M707,1e-05,5.5e-05,-0.25,0.035,0.052981,0.1906,nSEG,2,GNSS,-0.033981,0.00940000000000002,1.7884736842105262,0.0470000000000001,0.9177368421052632
